season,episode,timestamp,description,source
1,8,40:50,"After the Chief gives birth, Shawn suggests she should take a break and come back in January. This references the mid-season break they had during filming, that would last until January.",The Psychologists Are In podcast
2,2,22:15,"The movie Shawn attemps to make Gus guess is 'Holes!' in which Dulé Hill is a character."
2,7,39:45,"The following conversation is a jab at the show itself, since this is exactly what they do for flashbacks.
<pre>Henry: I can't believe he passed himself off as a teenager for this long
Shawn: I don't know dad, slap a wig on you, you're a spitting image of yourself when I was a kid</pre>"
2,13,00:00,The Craft service person in the episode is called Kelly, which is the same as in Psych.,The Psychologists Are In podcast
4,6,3:55,"<pre>Lassie:: I know. Why don't you go home and wait for me not to call you?
Shawn: He's just saying that so that it'll be more dramatic later on when he has to ask for my help. 
Abigail: More dramatic for who?
Shawn: I don't know. That guy, I guess.</pre>"
5,8,,"<pre>Shawn: Criminal profiler, huh? Sounds like one of those job titles that only exists in cheesy tv shows.
Declan: No argument here. What is it that you do?
Shawn: I'm a psychic detective.</pre>"
5,11,13:45,"<pre>Shawn: Gus, don't be the only black lead on a major cable network.</pre>"
5,13,10:35,"Shawn refers to Nick (played by Ralph Macchio) as 'Sensei', because Ralph Macchio played a major character in 'The Karate Kid'."
5,14,21:00,"Young Shawn says: <pre>Well we changed. Sometimes from week to week, huh?</pre>, which is a nod to the fact that the actor playing Young Shawn changed in the middle of season 5"
